id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,lotSize,yearBuilt,hoa
"300-Executive-Dr,-West-Orange,-NJ-07052","300 Executive Dr, West Orange, NJ 07052",300 Executive Dr,,West Orange,NJ,07052,Essex,40.796486,-74.26136,Single Family,1,1.0,666.0,Active,2579,Standard,2025-07-05T00:00:00.000Z,,2025-05-28T00:00:00.000Z,2025-07-05T04:17:21.708Z,1,,,,,,,
"488-Heywood-Ave,---2,-Orange,-NJ-07050","488 Heywood Ave, # 2, Orange, NJ 07050",488 Heywood Ave,# 2,Orange,NJ,07050,Essex,40.758038,-74.248726,Condo,3,1.0,,Active,2300,Standard,2025-07-05T00:00:00.000Z,,2025-07-03T00:00:00.000Z,2025-07-05T04:17:21.632Z,1,,,,,,,
"810-Bloomfield-Ave,-Apt-B8,-Verona,-NJ-07044","810 Bloomfield Ave, Apt B8, Verona, NJ 07044",810 Bloomfield Ave,Apt B8,Verona,NJ,07044,Essex,40.834484,-74.253555,Apartment,1,1.0,550.0,Active,1845,Standard,2023-11-24T00:00:00.000Z,,2023-11-25T00:00:00.000Z,2025-07-05T04:17:21.606Z,590,,,,,,,
"14-2nd-St,-Apt-2A,-South-Orange,-NJ-07079","14 2nd St, Apt 2A, South Orange, NJ 07079",14 2nd St,Apt 2A,South Orange,NJ,07079,Essex,40.744431,-74.26104,Apartment,2,2.0,1220.0,Active,3995,Standard,2024-10-25T00:00:00.000Z,,2021-10-07T01:10:31.978Z,2025-07-05T04:17:19.501Z,254,NestSeekers,3874154,"{'name': 'Deya Santibanez', 'phone': '9089108482', 'email': 'deyasanti1@gmail.com'}","{'name': 'Nest Seekers Summit/Short Hills, NJ', 'phone': '7323621523', 'email': 'tbyron@hudsonplacerealty.com'}",,,
"354-S-Orange-Ave,-Apt-2D,-South-Orange-Village-Township,-NJ-07079","354 S Orange Ave, Apt 2D, South Orange Village Township, NJ 07079",354 S Orange Ave,Apt 2D,South Orange Village Township,NJ,07079,Essex,40.744453,-74.249748,Single Family,3,2.0,,Active,3095,Standard,2024-12-07T00:00:00.000Z,,2024-12-08T00:00:00.000Z,2025-07-05T04:17:19.497Z,211,GardenState,3937325,"{'name': 'Catalda Cocuzza', 'phone': '9733788300', 'email': 'catalda.cocuzza@cbrealty.com', 'website': 'https://www.coldwellbankerhomes.com/nj/maplewood/agent/catalda-cocuzza/aid_229144/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733788300', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/maplewood/office/maplewood-office/oid_1578/'}",16988.0,1970.0,
"521-Chestnut-St,-City-Of-Orange-Township,-NJ-07050","521 Chestnut St, City Of Orange Township, NJ 07050",521 Chestnut St,,City Of Orange Township,NJ,07050,Essex,40.759963,-74.248897,Multi-Family,2,1.0,,Active,1950,Standard,2024-07-05T00:00:00.000Z,,2023-07-27T00:00:00.000Z,2025-07-05T04:17:19.494Z,366,GardenState,3911586,"{'name': 'Keren', 'phone': '5512477847', 'email': 'ksewellortiz@gmail.com', 'website': 'https://kerensewellortiz.exprealty.com/'}","{'name': 'EXP REALTY, LLC', 'phone': '8662016210', 'email': 'nj.broker@exprealty.net', 'website': 'www.exprealty.com'}",5227.0,1911.0,
"354-S-Orange-Ave,-Apt-3D,-South-Orange-Village-Township,-NJ-07079","354 S Orange Ave, Apt 3D, South Orange Village Township, NJ 07079",354 S Orange Ave,Apt 3D,South Orange Village Township,NJ,07079,Essex,40.744453,-74.249748,Single Family,3,2.0,,Active,2995,Standard,2024-12-07T00:00:00.000Z,,2024-12-08T00:00:00.000Z,2025-07-05T04:17:19.488Z,211,GardenState,3937327,"{'name': 'Catalda Cocuzza', 'phone': '9733788300', 'email': 'catalda.cocuzza@cbrealty.com', 'website': 'https://www.coldwellbankerhomes.com/nj/maplewood/agent/catalda-cocuzza/aid_229144/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733788300', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/maplewood/office/maplewood-office/oid_1578/'}",16988.0,1970.0,
"378-Millburn-Ave,-Ste-2,-Millburn,-NJ-07041","378 Millburn Ave, Ste 2, Millburn, NJ 07041",378 Millburn Ave,Ste 2,Millburn,NJ,07041,Essex,40.723133,-74.30941,Single Family,2,2.0,1164.0,Active,6000,Standard,2024-11-08T00:00:00.000Z,,2024-04-24T00:00:00.000Z,2025-07-05T04:17:19.469Z,240,GardenState,3933591,"{'name': 'Joanna Parker-lentz', 'phone': '9736994388', 'email': 'joanna.parkerlentz@cbrealty.com', 'website': 'http://www.jodiandjoanna.com/'}","{'name': 'Coldwell Banker Realty', 'phone': '9733765200', 'email': 'michael.pennisi@cbmoves.com', 'website': 'https://www.coldwellbankerhomes.com//nj/short-hills/office/short-hills-office/oid_1688/'}",6970.0,2024.0,
"71-Roseland-Ave,-Apt-68,-Caldwell-Boro-Township,-NJ-07006","71 Roseland Ave, Apt 68, Caldwell Boro Township, NJ 07006",71 Roseland Ave,Apt 68,Caldwell Boro Township,NJ,07006,Essex,40.837211,-74.277796,Condo,2,1.0,,Active,2500,Standard,2025-01-19T00:00:00.000Z,,2025-01-20T00:00:00.000Z,2025-07-05T04:16:38.977Z,168,GardenState,3942100,"{'name': 'Teresa Losi', 'phone': '9739944884'}","{'name': 'WEICHERT REALTORS', 'phone': '8008391295', 'email': 'rdclead@wlninc.com'}",,1960.0,
"69-71-W-Mount-Pleasant-Ave,-Unit-1,-Livingston,-NJ-07039","69-71 W Mount Pleasant Ave, Unit 1, Livingston, NJ 07039",69-71 W Mount Pleasant Ave,Unit 1,Livingston,NJ,07039,Essex,40.795216,-74.31839,Apartment,2,1.0,,Active,1950,Standard,2025-03-03T00:00:00.000Z,,2025-03-05T00:00:00.000Z,2025-07-05T04:15:02.278Z,125,NewJerseyMLS,25006630,"{'name': 'Diana Frankel', 'phone': '9736329299', 'email': 'diana.frankel@coldwellbankermoves.com'}","{'name': 'Coldwell Banker, Upper Montclair', 'phone': '9732332300'}",,,
