id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,squareFootage,yearBuilt,lotSize,mlsName,mlsNumber,listingAgent,listingOffice,hoa
"54-Princeton-St,-Unit-3,-East-Orange,-NJ-07018","54 Princeton St, Unit 3, East Orange, NJ 07018",54 Princeton St,Unit 3,East Orange,NJ,07018,Essex,40.75835,-74.223892,Single Family,3,1.0,Active,2000,Standard,2025-07-05T00:00:00.000Z,,2025-06-27T00:00:00.000Z,2025-07-05T04:21:31.266Z,1,,,,,,,,
"20-Canfield-St,-Unit-J3,-Orange,-NJ-07050","20 Canfield St, Unit J3, Orange, NJ 07050",20 Canfield St,Unit J3,Orange,NJ,07050,Essex,40.771671,-74.226608,Apartment,2,1.0,Active,2100,Standard,2025-07-05T00:00:00.000Z,,2025-07-04T00:00:00.000Z,2025-07-05T04:21:31.262Z,1,,,,,,,,
"345-S-Clinton-St,-Unit-1R,-East-Orange,-NJ-07018","345 S Clinton St, Unit 1R, East Orange, NJ 07018",345 S Clinton St,Unit 1R,East Orange,NJ,07018,Essex,40.754025,-74.223022,Single Family,2,2.0,Active,2100,Standard,2025-07-05T00:00:00.000Z,,2025-06-20T00:00:00.000Z,2025-07-05T04:21:31.260Z,1,900.0,,,,,,,
"278-Watchung-Ave-Apt-A,-Orange,-NJ-07050","278 Watchung Ave Apt A, Orange, NJ 07050",278 Watchung Ave Apt A,,Orange,NJ,07050,Essex,40.783192,-74.229019,Apartment,0,1.0,Active,1220,Standard,2025-07-05T00:00:00.000Z,,2025-04-06T00:00:00.000Z,2025-07-05T04:21:31.255Z,1,,,,,,,,
"49S-Day-St,-Orange,-NJ-07050","49S Day St, Orange, NJ 07050",49S Day St,,Orange,NJ,07050,Essex,40.770973,-74.230988,Single Family,2,2.0,Active,2685,Standard,2025-07-05T00:00:00.000Z,,2024-04-03T00:00:00.000Z,2025-07-05T04:21:31.253Z,1,895.0,,,,,,,
"557-S-Orange-Ave,-South-Orange,-NJ-07079","557 S Orange Ave, South Orange, NJ 07079",557 S Orange Ave,,South Orange,NJ,07079,Essex,40.746152,-74.241698,Single Family,5,2.5,Active,5400,Standard,2025-07-05T00:00:00.000Z,,2025-06-18T00:00:00.000Z,2025-07-05T04:21:31.252Z,1,2400.0,,,,,,,
"S-Day-studio-201-St,-Unit-49,-Orange,-NJ-07050","S Day-studio 201 St, Unit 49, Orange, NJ 07050",S Day-studio 201 St,Unit 49,Orange,NJ,07050,Essex,40.771054199,-74.23079469,Condo,0,1.0,Active,1935,Standard,2025-07-05T00:00:00.000Z,,2024-08-29T00:00:00.000Z,2025-07-05T04:21:31.251Z,1,470.0,,,,,,,
"Highland-2-Bed-Ave,-Unit-416,-Orange,-NJ-07050","Highland-2 Bed Ave, Unit 416, Orange, NJ 07050",Highland-2 Bed Ave,Unit 416,Orange,NJ,07050,Essex,40.764179,-74.2412946,Condo,2,2.0,Active,2650,Standard,2025-07-05T00:00:00.000Z,,2024-08-14T00:00:00.000Z,2025-07-05T04:21:31.249Z,1,923.0,,,,,,,
"276-Reock-St,---403,-Orange,-NJ-07050","276 Reock St, # 403, Orange, NJ 07050",276 Reock St,# 403,Orange,NJ,07050,Essex,40.770523,-74.230423,Condo,1,1.0,Active,1995,Standard,2025-07-05T00:00:00.000Z,,2025-01-07T00:00:00.000Z,2025-07-05T04:21:31.248Z,1,690.0,,,,,,,
"321-Sanford-Ave,-Unit-B2,-Newark,-NJ-07106","321 Sanford Ave, Unit B2, Newark, NJ 07106",321 Sanford Ave,Unit B2,Newark,NJ,07106,Essex,40.750584,-74.230865,Single Family,1,1.0,Active,1700,Standard,2025-07-05T00:00:00.000Z,,2025-07-01T00:00:00.000Z,2025-07-05T04:21:31.243Z,1,,,,,,,,
"S-Day-1-Bed-203-St,-Unit-49,-Orange,-NJ-07050","S Day-1 Bed 203 St, Unit 49, Orange, NJ 07050",S Day-1 Bed 203 St,Unit 49,Orange,NJ,07050,Essex,40.771054199,-74.23079469,Condo,1,1.0,Active,2210,Standard,2025-07-05T00:00:00.000Z,,2024-08-29T00:00:00.000Z,2025-07-05T04:21:31.239Z,1,620.0,,,,,,,
"276-Reock-St,---503,-Orange,-NJ-07050","276 Reock St, # 503, Orange, NJ 07050",276 Reock St,# 503,Orange,NJ,07050,Essex,40.770523,-74.230423,Condo,1,1.0,Active,2240,Standard,2025-07-05T00:00:00.000Z,,2025-03-11T00:00:00.000Z,2025-07-05T04:21:31.238Z,1,690.0,,,,,,,
"276-Reock-St,---603,-Orange,-NJ-07050","276 Reock St, # 603, Orange, NJ 07050",276 Reock St,# 603,Orange,NJ,07050,Essex,40.770523,-74.230423,Condo,1,1.0,Active,2260,Standard,2025-07-05T00:00:00.000Z,,2025-03-11T00:00:00.000Z,2025-07-05T04:21:31.232Z,1,690.0,,,,,,,
"140-Washington-St,-East-Orange,-NJ-07017","140 Washington St, East Orange, NJ 07017",140 Washington St,,East Orange,NJ,07017,Essex,40.776714,-74.221436,Single Family,0,1.0,Active,1400,Standard,2025-07-05T00:00:00.000Z,,2024-01-13T00:00:00.000Z,2025-07-05T04:17:21.722Z,1,,,,,,,,
"140-Washington-St,-Apt-A2,-East-Orange,-NJ-07017","140 Washington St, Apt A2, East Orange, NJ 07017",140 Washington St,Apt A2,East Orange,NJ,07017,Essex,40.776714,-74.221436,Condo,1,1.0,Active,1550,Standard,2025-07-05T00:00:00.000Z,,2023-05-10T00:00:00.000Z,2025-07-05T04:17:21.717Z,1,,,,,,,,
"300-Executive-Dr,-West-Orange,-NJ-07052","300 Executive Dr, West Orange, NJ 07052",300 Executive Dr,,West Orange,NJ,07052,Essex,40.796486,-74.26136,Single Family,1,1.0,Active,2579,Standard,2025-07-05T00:00:00.000Z,,2025-05-28T00:00:00.000Z,2025-07-05T04:17:21.708Z,1,666.0,,,,,,,
"154-Taylor-St,-Orange,-NJ-07050","154 Taylor St, Orange, NJ 07050",154 Taylor St,,Orange,NJ,07050,Essex,40.766022,-74.228699,Single Family,3,1.0,Active,2450,Standard,2025-07-05T00:00:00.000Z,,2025-06-26T00:00:00.000Z,2025-07-05T04:17:21.705Z,1,,,,,,,,
"72-S-Essex-Ave,-Orange,-NJ-07050","72 S Essex Ave, Orange, NJ 07050",72 S Essex Ave,,Orange,NJ,07050,Essex,40.770756,-74.232002,Condo,2,2.0,Active,2940,Standard,2025-07-05T00:00:00.000Z,,2025-05-24T00:00:00.000Z,2025-07-05T04:17:21.700Z,1,1073.0,,,,,,,
"416-Highland-Ave,-Apt-231,-Orange,-NJ-07050","416 Highland Ave, Apt 231, Orange, NJ 07050",416 Highland Ave,Apt 231,Orange,NJ,07050,Essex,40.764187,-74.241234,Condo,1,1.0,Active,2076,Standard,2025-07-05T00:00:00.000Z,,2025-03-19T00:00:00.000Z,2025-07-05T04:17:21.645Z,1,663.0,,,,,,,
"S-Day-2-Bed-205-St,-Unit-49,-Orange,-NJ-07050","S Day-2 Bed 205 St, Unit 49, Orange, NJ 07050",S Day-2 Bed 205 St,Unit 49,Orange,NJ,07050,Essex,40.771054199,-74.23079469,Condo,2,2.0,Active,2685,Standard,2025-07-05T00:00:00.000Z,,2024-08-29T00:00:00.000Z,2025-07-05T04:17:21.636Z,1,895.0,,,,,,,
"488-Heywood-Ave,---2,-Orange,-NJ-07050","488 Heywood Ave, # 2, Orange, NJ 07050",488 Heywood Ave,# 2,Orange,NJ,07050,Essex,40.758038,-74.248726,Condo,3,1.0,Active,2300,Standard,2025-07-05T00:00:00.000Z,,2025-07-03T00:00:00.000Z,2025-07-05T04:17:21.632Z,1,,,,,,,,
"416-Highland-Ave,-Apt-411,-Orange,-NJ-07050","416 Highland Ave, Apt 411, Orange, NJ 07050",416 Highland Ave,Apt 411,Orange,NJ,07050,Essex,40.764187,-74.241234,Condo,0,1.0,Active,1900,Standard,2025-07-05T00:00:00.000Z,,2025-03-11T00:00:00.000Z,2025-07-05T04:17:21.629Z,1,533.0,,,,,,,
