id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,squareFootage,yearBuilt,lotSize,mlsName,mlsNumber,listingAgent,listingOffice,hoa
"564-S-Clinton-St,-East-Orange,-NJ-07018","564 S Clinton St, East Orange, NJ 07018",564 S Clinton St,,East Orange,NJ,07018,Essex,40.747032,-74.226383,Single Family,3.0,1.0,Active,2090,Standard,2025-07-06T00:00:00.000Z,,2025-05-18T00:00:00.000Z,2025-07-06T04:11:10.024Z,1,,,,,,,,
"345-S-Clinton-St,-Unit-1R,-East-Orange,-NJ-07018","345 S Clinton St, Unit 1R, East Orange, NJ 07018",345 S Clinton St,Unit 1R,East Orange,NJ,07018,Essex,40.754025,-74.223022,Single Family,2.0,2.0,Active,2100,Standard,2025-07-06T00:00:00.000Z,,2025-06-20T00:00:00.000Z,2025-07-06T04:11:10.022Z,1,900.0,,,,,,,
"75-N-Munn-Ave,-Unit-2,-Newark,-NJ-07106","75 N Munn Ave, Unit 2, Newark, NJ 07106",75 N Munn Ave,Unit 2,Newark,NJ,07106,Essex,40.747517,-74.216789,Apartment,5.0,1.5,Active,2675,Standard,2025-07-06T00:00:00.000Z,,2025-04-23T00:00:00.000Z,2025-07-06T04:11:10.020Z,1,,,,,,,,
"49S-Day-St,-Orange,-NJ-07050","49S Day St, Orange, NJ 07050",49S Day St,,Orange,NJ,07050,Essex,40.770973,-74.230988,Single Family,2.0,2.0,Active,2685,Standard,2025-07-06T00:00:00.000Z,,2024-04-03T00:00:00.000Z,2025-07-06T04:11:10.019Z,1,895.0,,,,,,,
"57-Glenridge-Ave,-Apt-1L,-Montclair,-NJ-07042","57 Glenridge Ave, Apt 1L, Montclair, NJ 07042",57 Glenridge Ave,Apt 1L,Montclair,NJ,07042,Essex,40.809777,-74.208552,Apartment,2.0,1.0,Active,2350,Standard,2025-07-06T00:00:00.000Z,,2024-06-18T00:00:00.000Z,2025-07-06T04:11:10.019Z,1,850.0,,,,,,,
"400-Stuyvesant-Ave,-Unit-16C,-Irvington,-NJ-07111","400 Stuyvesant Ave, Unit 16C, Irvington, NJ 07111",400 Stuyvesant Ave,Unit 16C,Irvington,NJ,07111,Essex,40.733097,-74.234634,Apartment,1.0,1.0,Active,1500,Standard,2025-07-06T00:00:00.000Z,,2025-03-27T00:00:00.000Z,2025-07-06T04:11:10.018Z,1,800.0,,,,,,,
"557-S-Orange-Ave,-South-Orange,-NJ-07079","557 S Orange Ave, South Orange, NJ 07079",557 S Orange Ave,,South Orange,NJ,07079,Essex,40.746152,-74.241698,Single Family,5.0,2.5,Active,5400,Standard,2025-07-06T00:00:00.000Z,,2025-06-18T00:00:00.000Z,2025-07-06T04:11:10.017Z,1,2400.0,,,,,,,
"321-Sanford-Ave,-Unit-B2,-Newark,-NJ-07106","321 Sanford Ave, Unit B2, Newark, NJ 07106",321 Sanford Ave,Unit B2,Newark,NJ,07106,Essex,40.750584,-74.230865,Single Family,1.0,1.0,Active,1700,Standard,2025-07-06T00:00:00.000Z,,2025-07-01T00:00:00.000Z,2025-07-06T04:11:10.013Z,1,,,,,,,,
"20-Canfield-St,-Unit-J3,-Orange,-NJ-07050","20 Canfield St, Unit J3, Orange, NJ 07050",20 Canfield St,Unit J3,Orange,NJ,07050,Essex,40.771671,-74.226608,Apartment,2.0,1.0,Active,2100,Standard,2025-07-06T00:00:00.000Z,,2025-07-04T00:00:00.000Z,2025-07-06T04:11:10.010Z,1,,,,,,,,
"143-N-Walnut-St,-Apt-3,-East-Orange,-NJ-07017","143 N Walnut St, Apt 3, East Orange, NJ 07017",143 N Walnut St,Apt 3,East Orange,NJ,07017,Essex,40.767223,-74.209976,Single Family,1.0,1.0,Active,1600,Standard,2025-07-06T00:00:00.000Z,,2025-07-01T00:00:00.000Z,2025-07-06T04:11:10.007Z,1,,,,,,,,
"108-Pine-St,-Apt-5,-Montclair,-NJ-07042","108 Pine St, Apt 5, Montclair, NJ 07042",108 Pine St,Apt 5,Montclair,NJ,07042,Essex,40.811766,-74.208025,Apartment,1.0,1.0,Active,1995,Standard,2025-07-06T00:00:00.000Z,,2025-06-26T00:00:00.000Z,2025-07-06T04:11:10.006Z,1,700.0,,,,,,,
"74-76-Isabella-Ave,-Unit-3C,-Newark,-NJ-07106","74-76 Isabella Ave, Unit 3C, Newark, NJ 07106",74-76 Isabella Ave,Unit 3C,Newark,NJ,07106,Essex,40.742516,-74.22052,Apartment,3.0,1.5,Active,2495,Standard,2025-07-06T00:00:00.000Z,,2025-03-21T00:00:00.000Z,2025-07-06T04:11:10.005Z,1,1000.0,,,,,,,
"139-N-Arlington-Ave,-Apt-1A,-East-Orange,-NJ-07017","139 N Arlington Ave, Apt 1A, East Orange, NJ 07017",139 N Arlington Ave,Apt 1A,East Orange,NJ,07017,Essex,40.76572,-74.208054,Condo,3.0,2.0,Active,1984,Standard,2025-07-06T00:00:00.000Z,,2025-06-24T00:00:00.000Z,2025-07-06T04:11:10.002Z,1,1100.0,,,,,,,
"278-Watchung-Ave-Apt-A,-Orange,-NJ-07050","278 Watchung Ave Apt A, Orange, NJ 07050",278 Watchung Ave Apt A,,Orange,NJ,07050,Essex,40.783192,-74.229019,Apartment,0.0,1.0,Active,1220,Standard,2025-07-06T00:00:00.000Z,,2025-04-06T00:00:00.000Z,2025-07-06T04:11:10.002Z,1,,,,,,,,
"145-Vermont-Ave,-Unit-2C,-Newark,-NJ-07106","145 Vermont Ave, Unit 2C, Newark, NJ 07106",145 Vermont Ave,Unit 2C,Newark,NJ,07106,Essex,40.740208,-74.222878,Single Family,4.0,1.5,Active,2350,Standard,2025-07-06T00:00:00.000Z,,2025-03-22T00:00:00.000Z,2025-07-06T04:11:10.001Z,1,1500.0,,,,,,,
"74-76-Isabella-Ave,-Unit-1,-Newark,-NJ-07106","74-76 Isabella Ave, Unit 1, Newark, NJ 07106",74-76 Isabella Ave,Unit 1,Newark,NJ,07106,Essex,40.742516,-74.22052,Apartment,5.0,2.0,Active,3200,Standard,2025-07-06T00:00:00.000Z,,2025-05-27T00:00:00.000Z,2025-07-06T04:11:09.998Z,1,1500.0,,,,,,,
"276-Reock-St,---403,-Orange,-NJ-07050","276 Reock St, # 403, Orange, NJ 07050",276 Reock St,# 403,Orange,NJ,07050,Essex,40.770523,-74.230423,Condo,1.0,1.0,Active,1995,Standard,2025-07-06T00:00:00.000Z,,2025-01-07T00:00:00.000Z,2025-07-06T04:11:09.997Z,1,690.0,,,,,,,
